Census_Tract_Name,Total population
Census Tract 1341.04; Los Angeles County; California!!Estimate,"4,076"
Census Tract 1342.01; Los Angeles County; California!!Estimate,"4,062"
Census Tract 1343.02; Los Angeles County; California!!Estimate,"4,411"
Census Tract 1343.03; Los Angeles County; California!!Estimate,"5,455"
Census Tract 1343.04; Los Angeles County; California!!Estimate,"2,863"
Census Tract 1343.05; Los Angeles County; California!!Estimate,"3,693"
Census Tract 1343.06; Los Angeles County; California!!Estimate,"3,699"
Census Tract 1344.21; Los Angeles County; California!!Estimate,"4,401"
Census Tract 1344.22; Los Angeles County; California!!Estimate,"5,079"
Census Tract 1344.23; Los Angeles County; California!!Estimate,"3,417"
Census Tract 1344.24; Los Angeles County; California!!Estimate,"2,835"
Census Tract 1345.20; Los Angeles County; California!!Estimate,"5,178"
Census Tract 1345.21; Los Angeles County; California!!Estimate,"2,736"
Census Tract 1345.22; Los Angeles County; California!!Estimate,"4,521"
Census Tract 1347.10; Los Angeles County; California!!Estimate,"5,304"
Census Tract 1347.20; Los Angeles County; California!!Estimate,"5,545"
Census Tract 1348.01; Los Angeles County; California!!Estimate,"2,951"
Census Tract 1348.02; Los Angeles County; California!!Estimate,"3,123"
Census Tract 1349.01; Los Angeles County; California!!Estimate,"2,469"
Census Tract 1349.04; Los Angeles County; California!!Estimate,"4,866"
Census Tract 1349.05; Los Angeles County; California!!Estimate,"6,046"
Census Tract 1349.06; Los Angeles County; California!!Estimate,"2,933"
Census Tract 1349.07; Los Angeles County; California!!Estimate,"3,854"
Census Tract 1351.02; Los Angeles County; California!!Estimate,"3,848"
Census Tract 1351.11; Los Angeles County; California!!Estimate,"3,807"
Census Tract 1351.13; Los Angeles County; California!!Estimate,"2,980"
Census Tract 1351.15; Los Angeles County; California!!Estimate,"3,921"
Census Tract 1351.16; Los Angeles County; California!!Estimate,"1,507"
Census Tract 1352.01; Los Angeles County; California!!Estimate,"2,999"
Census Tract 1352.02; Los Angeles County; California!!Estimate,"4,745"
Census Tract 1352.04; Los Angeles County; California!!Estimate,"4,665"
Census Tract 1352.05; Los Angeles County; California!!Estimate,"1,874"
Census Tract 1370; Los Angeles County; California!!Estimate,"4,823"
Census Tract 1371.03; Los Angeles County; California!!Estimate,"5,100"
Census Tract 1371.04; Los Angeles County; California!!Estimate,"2,233"
Census Tract 1372.02; Los Angeles County; California!!Estimate,"3,368"
Census Tract 1372.03; Los Angeles County; California!!Estimate,"2,595"
Census Tract 1373.01; Los Angeles County; California!!Estimate,"2,182"
Census Tract 1373.02; Los Angeles County; California!!Estimate,"4,564"
Census Tract 1374.01; Los Angeles County; California!!Estimate,"4,673"
Census Tract 1374.02; Los Angeles County; California!!Estimate,"5,905"
Census Tract 1375.01; Los Angeles County; California!!Estimate,"5,495"
Census Tract 1375.02; Los Angeles County; California!!Estimate,"4,582"
Census Tract 1375.04; Los Angeles County; California!!Estimate,"1,889"
Census Tract 1380; Los Angeles County; California!!Estimate,"4,777"
Census Tract 1390.01; Los Angeles County; California!!Estimate,"5,515"
Census Tract 1392; Los Angeles County; California!!Estimate,"5,758"
Census Tract 1393.01; Los Angeles County; California!!Estimate,"4,137"
Census Tract 1393.02; Los Angeles County; California!!Estimate,"5,001"
Census Tract 1393.03; Los Angeles County; California!!Estimate,"4,807"
Census Tract 1394.01; Los Angeles County; California!!Estimate,"2,431"
Census Tract 1394.02; Los Angeles County; California!!Estimate,"2,834"
Census Tract 1395.02; Los Angeles County; California!!Estimate,"3,315"
Census Tract 1395.04; Los Angeles County; California!!Estimate,"3,764"
Census Tract 1395.05; Los Angeles County; California!!Estimate,"2,512"
Census Tract 1395.06; Los Angeles County; California!!Estimate,"3,109"
Census Tract 1396; Los Angeles County; California!!Estimate,"5,164"
Census Tract 1397.01; Los Angeles County; California!!Estimate,"5,635"
Census Tract 1397.03; Los Angeles County; California!!Estimate,"2,554"
Census Tract 1397.04; Los Angeles County; California!!Estimate,"2,871"
Census Tract 1397.05; Los Angeles County; California!!Estimate,"4,011"
Census Tract 1398.01; Los Angeles County; California!!Estimate,"3,514"
Census Tract 1398.02; Los Angeles County; California!!Estimate,"3,832"
Census Tract 1411.01; Los Angeles County; California!!Estimate,"4,691"
Census Tract 1411.02; Los Angeles County; California!!Estimate,"2,959"
Census Tract 1412.01; Los Angeles County; California!!Estimate,"3,954"
Census Tract 1412.02; Los Angeles County; California!!Estimate,"3,111"
Census Tract 1413.03; Los Angeles County; California!!Estimate,"3,055"
Census Tract 1413.04; Los Angeles County; California!!Estimate,"2,947"
Census Tract 1413.05; Los Angeles County; California!!Estimate,"2,913"
Census Tract 1413.06; Los Angeles County; California!!Estimate,"3,222"
Census Tract 1414; Los Angeles County; California!!Estimate,"5,021"
Census Tract 1415; Los Angeles County; California!!Estimate,"2,887"
Census Tract 1416; Los Angeles County; California!!Estimate,"4,035"
Census Tract 1417; Los Angeles County; California!!Estimate,"3,086"
Census Tract 1431.01; Los Angeles County; California!!Estimate,"2,216"
Census Tract 1431.02; Los Angeles County; California!!Estimate,"2,174"
Census Tract 1432; Los Angeles County; California!!Estimate,"4,215"
Census Tract 1433.01; Los Angeles County; California!!Estimate,"3,273"
Census Tract 1433.02; Los Angeles County; California!!Estimate,"3,301"
Census Tract 1434.01; Los Angeles County; California!!Estimate,"5,300"
Census Tract 1434.02; Los Angeles County; California!!Estimate,"1,959"
Census Tract 1435; Los Angeles County; California!!Estimate,"5,325"
Census Tract 1436.02; Los Angeles County; California!!Estimate,"4,816"
Census Tract 1436.03; Los Angeles County; California!!Estimate,"2,452"
Census Tract 1436.05; Los Angeles County; California!!Estimate,"1,899"
Census Tract 1436.06; Los Angeles County; California!!Estimate,"1,759"
Census Tract 1437; Los Angeles County; California!!Estimate,"3,380"
Census Tract 1438.01; Los Angeles County; California!!Estimate,"3,201"
Census Tract 1438.02; Los Angeles County; California!!Estimate,"2,273"
Census Tract 1439.01; Los Angeles County; California!!Estimate,"4,055"
Census Tract 1439.02; Los Angeles County; California!!Estimate,"3,167"
Census Tract 1810; Los Angeles County; California!!Estimate,"5,588"
Census Tract 1813; Los Angeles County; California!!Estimate,"4,053"
Census Tract 1814; Los Angeles County; California!!Estimate,"4,463"
Census Tract 1815; Los Angeles County; California!!Estimate,"4,014"
Census Tract 1816; Los Angeles County; California!!Estimate,"4,208"
Census Tract 1831.01; Los Angeles County; California!!Estimate,"2,962"
Census Tract 1831.03; Los Angeles County; California!!Estimate,"4,424"
Census Tract 1831.04; Los Angeles County; California!!Estimate,"1,940"
Census Tract 1832.20; Los Angeles County; California!!Estimate,"2,954"
Census Tract 1832.21; Los Angeles County; California!!Estimate,"3,192"
Census Tract 1832.22; Los Angeles County; California!!Estimate,"3,459"
Census Tract 1833; Los Angeles County; California!!Estimate,"3,140"
Census Tract 1834.01; Los Angeles County; California!!Estimate,"2,592"
Census Tract 1834.02; Los Angeles County; California!!Estimate,"3,175"
Census Tract 1835.10; Los Angeles County; California!!Estimate,"2,432"
Census Tract 1835.20; Los Angeles County; California!!Estimate,"3,492"
Census Tract 1836.10; Los Angeles County; California!!Estimate,"2,826"
Census Tract 1836.20; Los Angeles County; California!!Estimate,"3,067"
Census Tract 1837.01; Los Angeles County; California!!Estimate,"3,445"
Census Tract 1837.02; Los Angeles County; California!!Estimate,"3,007"
Census Tract 1838.10; Los Angeles County; California!!Estimate,"4,139"
Census Tract 1838.20; Los Angeles County; California!!Estimate,"3,573"
Census Tract 1851.01; Los Angeles County; California!!Estimate,"2,408"
Census Tract 1851.02; Los Angeles County; California!!Estimate,"3,503"
Census Tract 1852.02; Los Angeles County; California!!Estimate,"4,099"
Census Tract 1852.03; Los Angeles County; California!!Estimate,"2,497"
Census Tract 1852.04; Los Angeles County; California!!Estimate,"1,888"
Census Tract 1853.10; Los Angeles County; California!!Estimate,"2,871"
Census Tract 1853.20; Los Angeles County; California!!Estimate,"2,871"
Census Tract 1861; Los Angeles County; California!!Estimate,"4,633"
Census Tract 1862.01; Los Angeles County; California!!Estimate,"3,374"
Census Tract 1862.02; Los Angeles County; California!!Estimate,"1,808"
Census Tract 1862.03; Los Angeles County; California!!Estimate,"2,753"
Census Tract 1863.01; Los Angeles County; California!!Estimate,"2,729"
