GEO_ID,FIPS,Census_Tract_Name,Total population
1400000U,6037199802,1998.02,1975
1400000U,6037199900,1999,2295
1400000U,6037201110,2011.1,2279
1400000U,6037201120,2011.2,3843
1400000U,6037201200,2012,2677
1400000U,6037201301,2013.01,3403
1400000U,6037201302,2013.02,4083
1400000U,6037201401,2014.01,4177
1400000U,6037201402,2014.02,4113
1400000U,6037201501,2015.01,5468
1400000U,6037201503,2015.03,3133
1400000U,6037201504,2015.04,2063
1400000U,6037201601,2016.01,2310
1400000U,6037201602,2016.02,2766
1400000U,6037201700,2017,5128
1400000U,6037203100,2031,4302
1400000U,6037203200,2032,4995
1400000U,6037203300,2033,2105
1400000U,6037203500,2035,2831
1400000U,6037203601,2036.01,2664
1400000U,6037203602,2036.02,1964
1400000U,6037203710,2037.1,3457
1400000U,6037203720,2037.2,3556
1400000U,6037203800,2038,4817
1400000U,6037203900,2039,2839
1400000U,6037204110,2041.1,2863
1400000U,6037204120,2041.2,2480
1400000U,6037204200,2042,3317
1400000U,6037204300,2043,4873
1400000U,6037204410,2044.1,2467
1400000U,6037204420,2044.2,3101
1400000U,6037204600,2046,3954
1400000U,6037204700,2047,4524
1400000U,6037204810,2048.1,4932
1400000U,6037204820,2048.2,2066
1400000U,6037204910,2049.1,3356
1400000U,6037204920,2049.2,2459
1400000U,6037205110,2051.1,3690
1400000U,6037205120,2051.2,3409
1400000U,6037206010,2060.1,3490
1400000U,6037206020,2060.2,8179
1400000U,6037206050,2060.5,2290
1400000U,6037206051,2060.51,1535
1400000U,6037206052,2060.52,3153
1400000U,6037206053,2060.53,3057
1400000U,6037206054,2060.54,2456
1400000U,6037206201,2062.01,2127
1400000U,6037206202,2062.02,1711
1400000U,6037206301,2063.01,1991
1400000U,6037206302,2063.02,1904
1400000U,6037206303,2063.03,2430
1400000U,6037207101,2071.01,3852
1400000U,6037207102,2071.02,3340
1400000U,6037207103,2071.03,2112
1400000U,6037207303,2073.03,2359
1400000U,6037207304,2073.04,2358
1400000U,6037207305,2073.05,959
1400000U,6037207306,2073.06,2225
1400000U,6037207307,2073.07,1439
1400000U,6037207308,2073.08,1229
1400000U,6037207400,2074,2273
1400000U,6037207501,2075.01,2106
1400000U,6037207502,2075.02,3906
1400000U,6037207711,2077.11,2627
1400000U,6037207712,2077.12,4927
1400000U,6037207901,2079.01,3801
1400000U,6037207902,2079.02,7354
1400000U,6037208001,2080.01,2581
1400000U,6037208002,2080.02,4041
1400000U,6037208301,2083.01,1693
1400000U,6037208302,2083.02,4715
1400000U,6037208401,2084.01,3852
1400000U,6037208402,2084.02,2516
1400000U,6037208501,2085.01,2458
1400000U,6037208502,2085.02,3801
1400000U,6037208610,2086.1,4277
1400000U,6037208620,2086.2,4000
1400000U,6037208710,2087.1,4895
1400000U,6037208720,2087.2,3406
1400000U,6037208801,2088.01,3368
1400000U,6037208802,2088.02,2772
1400000U,6037208902,2089.02,2399
1400000U,6037208903,2089.03,3819
1400000U,6037208904,2089.04,3590
1400000U,6037209103,2091.03,3226
1400000U,6037209104,2091.04,2567
1400000U,6037209105,2091.05,3153
1400000U,6037209106,2091.06,2101
1400000U,6037209201,2092.01,3298
1400000U,6037209202,2092.02,1410
1400000U,6037209300,2093,4934
1400000U,6037209401,2094.01,3689
1400000U,6037209402,2094.02,4102
1400000U,6037209403,2094.03,4721
1400000U,6037209510,2095.1,2656
1400000U,6037209520,2095.2,2373
1400000U,6037209810,2098.1,2678
1400000U,6037209820,2098.2,2498
1400000U,6037210010,2100.1,3192
1400000U,6037211000,2110,5313
1400000U,6037211121,2111.21,2318
1400000U,6037211122,2111.22,2645
1400000U,6037211123,2111.23,1816
1400000U,6037211124,2111.24,4287
1400000U,6037211201,2112.01,2694
1400000U,6037211202,2112.02,2254
1400000U,6037211310,2113.1,3484
1400000U,6037211320,2113.2,3253
1400000U,6037211410,2114.1,2913
1400000U,6037211420,2114.2,3495
1400000U,6037211500,2115,3857
1400000U,6037211701,2117.01,2781
1400000U,6037211703,2117.03,4564
1400000U,6037211704,2117.04,2668
1400000U,6037211802,2118.02,4448
1400000U,6037211803,2118.03,3635
1400000U,6037211804,2118.04,3194
1400000U,6037211910,2119.1,3951
1400000U,6037211921,2119.21,2001
1400000U,6037211922,2119.22,3353
1400000U,6037212101,2121.01,2741
1400000U,6037212102,2121.02,2955
1400000U,6037212202,2122.02,3676
1400000U,6037212203,2122.03,2946
1400000U,6037212204,2122.04,3720
1400000U,6037212303,2123.03,3838
1400000U,6037212304,2123.04,1781
1400000U,6037212305,2123.05,2711
1400000U,6037212306,2123.06,2816
1400000U,6037212410,2124.1,4226
1400000U,6037212420,2124.2,2661
1400000U,6037212501,2125.01,1890
1400000U,6037212502,2125.02,3282
1400000U,6037212610,2126.1,4211
1400000U,6037212620,2126.2,3818
1400000U,6037212701,2127.01,2317
1400000U,6037212702,2127.02,3389
1400000U,6037212800,2128,3386
1400000U,6037212900,2129,3684
1400000U,6037213100,2131,2790
1400000U,6037213201,2132.01,4079
1400000U,6037213202,2132.02,3675
1400000U,6037213310,2133.1,2519
1400000U,6037213320,2133.2,2471
1400000U,6037213401,2134.01,4573
1400000U,6037213402,2134.02,4477
1400000U,6037214000,2140,3950
1400000U,6037214100,2141,3787
1400000U,6037214400,2144,3008
1400000U,6037214501,2145.01,3477
1400000U,6037214503,2145.03,3513
1400000U,6037214504,2145.04,3609
1400000U,6037214505,2145.05,1581
1400000U,6037214600,2146,2266
1400000U,6037214700,2147,2517
1400000U,6037214800,2148,2880
1400000U,6037214902,2149.02,2569
1400000U,6037214903,2149.03,1568
1400000U,6037214904,2149.04,1459
1400000U,6037215101,2151.01,3024
1400000U,6037215102,2151.02,3322
1400000U,6037216100,2161,2393
1400000U,6037216201,2162.01,2591
1400000U,6037216202,2162.02,2525
1400000U,6037216301,2163.01,1414
1400000U,6037216302,2163.02,3158
1400000U,6037216401,2164.01,3660
1400000U,6037216402,2164.02,2663
1400000U,6037216700,2167,3441
1400000U,6037216800,2168,3333
1400000U,6037216901,2169.01,2799
1400000U,6037216902,2169.02,2201
1400000U,6037217001,2170.01,2777
1400000U,6037217002,2170.02,4952
1400000U,6037217101,2171.01,2674
1400000U,6037217102,2171.02,2773
1400000U,6037217200,2172,3976
